id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 22 $ 22 | same $ 2 $
id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 22 $ 22 | 22 $ 2 $ (from previous run)
1 : True $ 1 $ 1 | same $ 2 $
2 : True $ 11 $ 11 | same $ 2 $
3 : True $ -\frac{5}{2} $ -\frac{5}{2} | same $ 2 $
4 : True $ (-2, -6) $ (-2,-6) | same $ 2 $
5 : True $ (7, 6) $ (7,6) | same $ 2 $
6 : True $ \dfrac{15\sqrt{7}}{14} $ \frac{15\sqrt{7}}{14} | same $ 2 $
7 : True $ \frac{5}{3} $ \frac53 | same $ 2 $
8 : True $ \dfrac{116050}{59049} $ \frac{116050}{59049} | same $ 2 $
9 : True $ \dfrac{\sqrt[3]{4}}{6} $ \frac{\sqrt[3]{4}}{6} | same $ 2 $
Algebra Accuracy: 10/10 = 1.0
------------------------------------------------------------

****************************





id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 22 $ 22 | 22 $ 2 $ (from previous run)
1 : True $ 1 $ 1 | 1 $ 2 $ (from previous run)
2 : True $ 11 $ 11 | 11 $ 2 $ (from previous run)
3 : True $ -\frac{5}{2} $ -\frac{5}{2} | -\frac{5}{2} $ 2 $ (from previous run)
4 : True $ (-2, -6) $ (-2,-6) | (-2, -6) $ 2 $ (from previous run)
5 : True $ (7, 6) $ (7,6) | (7, 6) $ 2 $ (from previous run)
6 : True $ \dfrac{15\sqrt{7}}{14} $ \frac{15\sqrt{7}}{14} | \dfrac{15\sqrt{7}}{14} $ 2 $ (from previous run)
7 : True $ \frac{5}{3} $ \frac53 | \frac{5}{3} $ 2 $ (from previous run)
8 : True $ \dfrac{116050}{59049} $ \frac{116050}{59049} | \dfrac{116050}{59049} $ 2 $ (from previous run)
9 : True $ \dfrac{\sqrt[3]{4}}{6} $ \frac{\sqrt[3]{4}}{6} | \dfrac{\sqrt[3]{4}}{6} $ 2 $ (from previous run)
10 : True $ 36 $ 36 | same $ 2 $
11 : False $ None $ \frac{1}{3} | same $ 5 $
12 : False $ 112,485 $ 112,\!875 | same $ 2 $
13 : True $ 8 $ 8 | same $ 2 $
14 : True $ 16 $ 16 | same $ 2 $
15 : True $ 236 $ 236 | same $ 2 $
16 : False $ None $ \frac{225}{16} | same $ 5 $
17 : True $ 7 $ 7 | same $ 2 $
18 : True $ (1, -2) $ (1,-2) | same $ 2 $
19 : True $ 6 $ 6 | same $ 4 $
20 : True $ 7 $ 7 | same $ 2 $
21 : True $ 12 $ 12 | same $ 2 $
22 : True $ 4 $ 4 | same $ 3 $
23 : True $ 115,000 $ \$115,000 | same $ 2 $
24 : True $ (0, 1] $ (0,1] | same $ 2 $
Algebra Accuracy: 22/25 = 0.88
------------------------------------------------------------

id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 351 $ 351 | same $ 3 $
1 : True $ \dfrac{40}{243} $ \frac{40}{243} | same $ 5 $
2 : True $ 34 $ 34 | same $ 2 $
3 : False $ None $ \frac{6}{4165} | same $ 5 $
4 : True $ \dfrac{5}{8} $ \frac{5}{8} | same $ 5 $
5 : True $ 200 $ 200 | same $ 2 $
6 : False $ None $ \dfrac{193}{512} | same $ 5 $
7 : True $ \dfrac{1}{7} $ \frac{1}{7} | same $ 2 $
8 : True $ 5 $ 5 | same $ 3 $
9 : True $ 576 $ 576 | same $ 2 $
10 : True $ \dfrac{485}{486} $ \frac{485}{486} | same $ 3 $
11 : True $ 29 $ 29 | same $ 2 $
id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 22 $ 22 | 22 $ 2 $ (from previous run)
1 : True $ 1 $ 1 | 1 $ 2 $ (from previous run)
2 : True $ 11 $ 11 | 11 $ 2 $ (from previous run)
3 : True $ -\frac{5}{2} $ -\frac{5}{2} | -\frac{5}{2} $ 2 $ (from previous run)
4 : True $ (-2, -6) $ (-2,-6) | (-2, -6) $ 2 $ (from previous run)
5 : True $ (7, 6) $ (7,6) | (7, 6) $ 2 $ (from previous run)
6 : True $ \dfrac{15\sqrt{7}}{14} $ \frac{15\sqrt{7}}{14} | \dfrac{15\sqrt{7}}{14} $ 2 $ (from previous run)
7 : True $ \frac{5}{3} $ \frac53 | \frac{5}{3} $ 2 $ (from previous run)
8 : True $ \dfrac{116050}{59049} $ \frac{116050}{59049} | \dfrac{116050}{59049} $ 2 $ (from previous run)
9 : True $ \dfrac{\sqrt[3]{4}}{6} $ \frac{\sqrt[3]{4}}{6} | \dfrac{\sqrt[3]{4}}{6} $ 2 $ (from previous run)
10 : True $ 36 $ 36 | 36 $ 2 $ (from previous run)
11 : False $ None $ \frac{1}{3} | None $ 5 $ (from previous run)
12 : False $ 112,485 $ 112,\!875 | 112,485 $ 2 $ (from previous run)
13 : True $ 8 $ 8 | 8 $ 2 $ (from previous run)
14 : True $ 16 $ 16 | 16 $ 2 $ (from previous run)
15 : True $ 236 $ 236 | 236 $ 2 $ (from previous run)
16 : False $ None $ \frac{225}{16} | None $ 5 $ (from previous run)
17 : True $ 7 $ 7 | 7 $ 2 $ (from previous run)
18 : True $ (1, -2) $ (1,-2) | (1, -2) $ 2 $ (from previous run)
19 : True $ 6 $ 6 | 6 $ 4 $ (from previous run)
20 : True $ 7 $ 7 | 7 $ 2 $ (from previous run)
21 : True $ 12 $ 12 | 12 $ 2 $ (from previous run)
22 : True $ 4 $ 4 | 4 $ 3 $ (from previous run)
23 : True $ 115,000 $ \$115,000 | 115,000 $ 2 $ (from previous run)
24 : True $ (0, 1] $ (0,1] | (0, 1] $ 2 $ (from previous run)
Algebra Accuracy: 22/25 = 0.88
------------------------------------------------------------

id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 351 $ 351 | 351 $ 3 $ (from previous run)
1 : True $ \dfrac{40}{243} $ \frac{40}{243} | \dfrac{40}{243} $ 5 $ (from previous run)
2 : True $ 34 $ 34 | 34 $ 2 $ (from previous run)
3 : False $ None $ \frac{6}{4165} | None $ 5 $ (from previous run)
4 : True $ \dfrac{5}{8} $ \frac{5}{8} | \dfrac{5}{8} $ 5 $ (from previous run)
5 : True $ 200 $ 200 | 200 $ 2 $ (from previous run)
6 : False $ None $ \dfrac{193}{512} | None $ 5 $ (from previous run)
7 : True $ \dfrac{1}{7} $ \frac{1}{7} | \dfrac{1}{7} $ 2 $ (from previous run)
8 : True $ 5 $ 5 | 5 $ 3 $ (from previous run)
