id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 413 $ 413 | same $ 2 $
1 : True $ 7 $ 7 | same $ 2 $
2 : True $ 7 $ 7 | same $ 2 $
3 : True $ 243 $ 243 | same $ 2 $
4 : True $ 38 $ 38 | same $ 2.5 $
5 : True $ 10 $ 10 | same $ 2.5 $
6 : True $ 72 $ 72 | same $ 2 $
7 : True $ 75 $ 75 | same $ 2 $
8 : True $ 8 $ 8 | same $ 2 $
9 : True $ 10 $ 10 | same $ 2 $
10 : False $ None $ 0 | same $ 15 $
11 : True $ 247 $ 247 | same $ 2 $
12 : True $ 32 $ 32 | same $ 2.5 $
13 : True $ 496 $ 496 | same $ 2.5 $
14 : True $ 22 $ 22 | same $ 2 $
15 : True $ 5 $ 5 | same $ 2 $
16 : True $ 6 $ 6 | same $ 2 $
17 : True $ 216 $ 216 | same $ 2 $
18 : True $ 12,\!000,\!085 $ 12,\!000,\!085 | same $ 2.5 $
19 : True $ 29 $ 29 | same $ 10.0 $
20 : True $ 40 $ 40 | same $ 2 $
21 : True $ 20 $ 20 | same $ 4.5 $
22 : True $ 50 $ 50 | same $ 2 $
23 : True $ 342 $ 342 | same $ 2 $
24 : True $ 2 $ 2 | same $ 2.5 $
Number Theory Accuracy: 24/25 = 0.96
------------------------------------------------------------

****************************





