id : is_correct $ ans $ correct_ans | corrected_ans $ round
id : is_correct $ ans $ correct_ans | corrected_ans $ round
id : is_correct $ ans $ correct_ans | corrected_ans $ round
id : is_correct $ ans $ correct_ans | corrected_ans $ round
id : is_correct $ ans $ correct_ans | corrected_ans $ round
id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 22 $ 22 | same $ 2 $
id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 22 $ 22 | 22 $ 2 $ (from previous run)
id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 22 $ 22 | 22 $ 2 $ (from previous run)
